
=== Parasoft C/C++test - Code Coverage Report ===

* LC - Line Coverage
* DC - Decision (Branch) Coverage
* SCC - Simple Condition Coverage
* MCDC - Modified Condition Decision Coverage

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/buffer/include/iox/detail/stack.inl LC=96% 43/45   DC=89% 16/18   SCC=89% 16/18  MCDC=78% 7/9   
  iox::cxx::list<T1, unsigned long>::isInvalidIterOrDifferentLists(const iox::cxx::list<T1, unsigned long>::IteratorBase<(bool)1> &) const LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::isInvalidIterator(const iox::cxx::list<T1, unsigned long>::IteratorBase<(bool)1> &) const LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::isValidElementIdx(decltype(T2)) const LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::cxx::list<T1, unsigned long>::list() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::list(const iox::cxx::list<T1, unsigned long>&) LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::list(iox::cxx::list<T1, unsigned long>&&) LC=100% 5/5    DC=100% 2/2    SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::max_size() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::operator =(const iox::cxx::list<T1, unsigned long>&) LC=100% 16/16  DC=88% 7/8     SCC=88% 7/8    MCDC=75% 3/4   
  iox::cxx::list<T1, unsigned long>::operator =(iox::cxx::list<T1, unsigned long>&&) LC=100% 17/17  DC=88% 7/8     SCC=88% 7/8    MCDC=75% 3/4   
  iox::cxx::list<T1, unsigned long>::pop_back() LC=100% 3/3    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::cxx::list<T1, unsigned long>::pop_front() LC=100% 3/3    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::cxx::list<T1, unsigned long>::push_back(T1 &&) LC=100% 4/4    DC=100% 2/2    SCC=100% 4/4   MCDC=100% 2/2  
  iox::cxx::list<T1, unsigned long>::push_back(const T1 &) LC=100% 4/4    DC=100% 2/2    SCC=100% 4/4   MCDC=100% 2/2  
  iox::cxx::list<T1, unsigned long>::push_front(T1 &&) LC=100% 4/4    DC=100% 2/2    SCC=100% 4/4   MCDC=100% 2/2  
  iox::cxx::list<T1, unsigned long>::push_front(const T1 &) LC=100% 4/4    DC=100% 2/2    SCC=100% 4/4   MCDC=100% 2/2  
  iox::cxx::list<T1, unsigned long>::remove(const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::setNextIdx(decltype(T2), decltype(T2)) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::setPrevIdx(decltype(T2), decltype(T2)) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::size() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::~list() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/internal/cxx/variant_queue.inl LC=90% 28/31   DC=78% 14/18   SCC=N/A        MCDC=N/A       

  iox::cxx::VariantQueue<T1, unsigned long>::VariantQueue(iox::cxx::VariantQueueTypes) LC=100% 8/8    DC=80% 4/5     SCC=N/A        MCDC=N/A       
  iox::cxx::VariantQueue<T1, unsigned long>::empty() const LC=80% 4/5     DC=75% 3/4     SCC=N/A        MCDC=N/A       
  iox::cxx::VariantQueue<T1, unsigned long>::getUnderlyingFiFo() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::VariantQueue<T1, unsigned long>::pop() LC=86% 6/7     DC=75% 3/4     SCC=N/A        MCDC=N/A       
  iox::cxx::VariantQueue<T1, unsigned long>::push(const T1 &) LC=90% 9/10    DC=80% 4/5     SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/internal/error_handling/error_handler.inl LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       

  auto iox::errorToStringIndex<T1>(T1) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  void iox::errorHandler<T1>(T1, iox::ErrorLevel) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/internal/posix_wrapper/mutex.hpp LC=0% 0/10     DC=N/A         SCC=0% 0/4     MCDC=0% 0/2    

  iox::posix::MutexBuilder::isInterProcessCapable(bool &&) && LC=0% 0/1      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    
  iox::posix::MutexBuilder::isInterProcessCapable(const bool &) && LC=0% 0/1      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    
  iox::posix::MutexBuilder::mutexType(const iox::posix::MutexType &) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MutexBuilder::mutexType(iox::posix::MutexType &&) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MutexBuilder::priorityCeiling(const iox::optional<int> &) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MutexBuilder::priorityCeiling(iox::optional<int> &&) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MutexBuilder::priorityInheritance(const iox::posix::MutexPriorityInheritance &) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MutexBuilder::priorityInheritance(iox::posix::MutexPriorityInheritance &&) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MutexBuilder::threadTerminationBehavior(const iox::posix::MutexThreadTerminationBehavior &) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MutexBuilder::threadTerminationBehavior(iox::posix::MutexThreadTerminationBehavior &&) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/internal/posix_wrapper/posix_call.inl LC=97% 34/35   DC=100% 12/12  SCC=88% 7/8    MCDC=75% 3/4   

  iox::posix::PosixCallBuilder<T1, T2...> iox::posix::internal::createPosixCallBuilder<T1, T2...>(T1 (*)(T2...), const char *, const char *, int, const char *) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::PosixCallBuilder<T1, T2...>::PosixCallBuilder(T1 (*)(T2...), const char *, const char *, int, const char *) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::PosixCallBuilder<T1, T2...>::operator ()(T2...) && LC=100% 7/7    DC=100% 4/4    SCC=100% 4/4   MCDC=100% 2/2  
  iox::posix::PosixCallEvaluator<T1> iox::posix::PosixCallEvaluator<T1>::ignoreErrnos<T1...>(T1...) const && LC=100% 3/3    DC=100% 2/2    SCC=N/A        MCDC=N/A       
  iox::posix::PosixCallEvaluator<T1> iox::posix::PosixCallEvaluator<T1>::suppressErrorMessagesForErrnos<T1...>(T1...) const && LC=100% 3/3    DC=100% 2/2    SCC=N/A        MCDC=N/A       
  iox::posix::PosixCallEvaluator<T1> iox::posix::PosixCallVerificator<T1>::failureReturnValue<T1...>(T1...) && LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::PosixCallEvaluator<T1> iox::posix::PosixCallVerificator<T1>::successReturnValue<T1...>(T1...) && LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::PosixCallEvaluator<T1>::PosixCallEvaluator(iox::posix::internal::PosixCallDetails<T1> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::PosixCallEvaluator<T1>::evaluate() const && LC=100% 5/5    DC=100% 4/4    SCC=75% 3/4    MCDC=50% 1/2   
  iox::posix::PosixCallResult<T1>::getHumanReadableErrnum() const LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::PosixCallVerificator<T1>::PosixCallVerificator(iox::posix::internal::PosixCallDetails<T1> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::PosixCallVerificator<T1>::returnValueMatchesErrno() && LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::internal::PosixCallDetails<T1>::PosixCallDetails(const char *, const char *, int, const char *) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::internal::errorLiteralToString(const char *, char *) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::internal::errorLiteralToString(int, char *) LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/internal/posix_wrapper/shared_memory_object.hpp LC=50% 6/12    DC=N/A         SCC=N/A        MCDC=N/A       

  iox::posix::SharedMemoryObjectBuilder::accessMode(const iox::posix::AccessMode &) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryObjectBuilder::accessMode(iox::posix::AccessMode &&) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryObjectBuilder::baseAddressHint(const iox::optional<const void *> &) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryObjectBuilder::baseAddressHint(iox::optional<const void *> &&) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryObjectBuilder::memorySizeInBytes(const unsigned long &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryObjectBuilder::memorySizeInBytes(unsigned long &&) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryObjectBuilder::name(const iox::string<(unsigned long)4096> &) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryObjectBuilder::name(iox::string<(unsigned long)4096> &&) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryObjectBuilder::openMode(const iox::posix::OpenMode &) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryObjectBuilder::openMode(iox::posix::OpenMode &&) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryObjectBuilder::permissions(const iox::access_rights &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryObjectBuilder::permissions(iox::access_rights &&) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/internal/posix_wrapper/shared_memory_object/memory_map.hpp LC=50% 6/12    DC=N/A         SCC=N/A        MCDC=N/A       

  iox::posix::MemoryMapBuilder::accessMode(const iox::posix::AccessMode &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MemoryMapBuilder::accessMode(iox::posix::AccessMode &&) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MemoryMapBuilder::baseAddressHint(const void *&&) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MemoryMapBuilder::baseAddressHint(const void *const &) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MemoryMapBuilder::fileDescriptor(const int &) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MemoryMapBuilder::fileDescriptor(int &&) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MemoryMapBuilder::flags(const iox::posix::MemoryMapFlags &) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MemoryMapBuilder::flags(iox::posix::MemoryMapFlags &&) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MemoryMapBuilder::length(const unsigned long &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MemoryMapBuilder::length(unsigned long &&) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MemoryMapBuilder::offset(const long &) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::MemoryMapBuilder::offset(long &&) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/internal/posix_wrapper/shared_memory_object/shared_memory.hpp LC=90% 9/10    DC=N/A         SCC=N/A        MCDC=N/A       

  iox::posix::SharedMemoryBuilder::accessMode(const iox::posix::AccessMode &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryBuilder::accessMode(iox::posix::AccessMode &&) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryBuilder::filePermissions(const iox::access_rights &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryBuilder::filePermissions(iox::access_rights &&) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryBuilder::name(const iox::string<(unsigned long)4096> &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryBuilder::name(iox::string<(unsigned long)4096> &&) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryBuilder::openMode(const iox::posix::OpenMode &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryBuilder::openMode(iox::posix::OpenMode &&) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryBuilder::size(const unsigned long &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::SharedMemoryBuilder::size(unsigned long &&) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/internal/posix_wrapper/unix_domain_socket.hpp LC=75% 3/4     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    

  iox::expected<iox::posix::UnixDomainSocket, iox::posix::IpcChannelError> iox::posix::UnixDomainSocket::create<T1...>(T1 &&...) LC=75% 3/4     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/posix_wrapper/file_lock.hpp LC=67% 4/6     DC=N/A         SCC=N/A        MCDC=N/A       

  iox::posix::FileLockBuilder::name(const iox::string<(unsigned long)249> &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::FileLockBuilder::name(iox::string<(unsigned long)249> &&) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::FileLockBuilder::path(const iox::string<(unsigned long)767> &) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::FileLockBuilder::path(iox::string<(unsigned long)767> &&) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::FileLockBuilder::permission(const iox::access_rights &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::FileLockBuilder::permission(iox::access_rights &&) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/posix_wrapper/named_semaphore.hpp LC=75% 6/8     DC=N/A         SCC=N/A        MCDC=N/A       

  iox::posix::NamedSemaphoreBuilder::initialValue(const unsigned int &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::NamedSemaphoreBuilder::initialValue(unsigned int &&) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::NamedSemaphoreBuilder::name(const iox::string<(unsigned long)250> &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::NamedSemaphoreBuilder::name(iox::string<(unsigned long)250> &&) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::NamedSemaphoreBuilder::openMode(const iox::posix::OpenMode &) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::NamedSemaphoreBuilder::openMode(iox::posix::OpenMode &&) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::NamedSemaphoreBuilder::permissions(const iox::access_rights &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::NamedSemaphoreBuilder::permissions(iox::access_rights &&) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/posix_wrapper/thread.hpp LC=50% 1/2     DC=N/A         SCC=N/A        MCDC=N/A       

  iox::posix::ThreadBuilder::name(const iox::string<(unsigned long)15> &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::ThreadBuilder::name(iox::string<(unsigned long)15> &&) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/posix_wrapper/unnamed_semaphore.hpp LC=75% 3/4     DC=N/A         SCC=25% 1/4    MCDC=0% 0/2    

  iox::posix::UnnamedSemaphoreBuilder::initialValue(const unsigned int &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::UnnamedSemaphoreBuilder::initialValue(unsigned int &&) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::UnnamedSemaphoreBuilder::isInterProcessCapable(bool &&) && LC=100% 1/1    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    
  iox::posix::UnnamedSemaphoreBuilder::isInterProcessCapable(const bool &) && LC=0% 0/1      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/memory/include/iox/detail/pointer_repository.inl LC=96% 25/26   DC=89% 16/18   SCC=88% 14/16  MCDC=75% 6/8   

  iox::PointerRepository<T1, T2, unsigned long>::PointerRepository() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::PointerRepository<T1, T2, unsigned long>::addPointerIfIdIsFree(T1, T2, unsigned long) LC=100% 7/7    DC=100% 4/4    SCC=100% 4/4   MCDC=100% 2/2  
  iox::PointerRepository<T1, T2, unsigned long>::getBasePtr(T1) const LC=100% 3/3    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::PointerRepository<T1, T2, unsigned long>::registerPtrWithId(T1, T2, unsigned long) LC=100% 3/3    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::PointerRepository<T1, T2, unsigned long>::searchId(T2) const LC=100% 4/4    DC=100% 4/4    SCC=100% 4/4   MCDC=100% 2/2  
  iox::PointerRepository<T1, T2, unsigned long>::unregisterAll() LC=100% 3/3    DC=100% 2/2    SCC=N/A        MCDC=N/A       
  iox::PointerRepository<T1, T2, unsigned long>::unregisterPtr(T1) LC=80% 4/5     DC=50% 2/4     SCC=50% 2/4    MCDC=0% 0/2    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/memory/include/iox/detail/relative_pointer.inl LC=95% 35/37   DC=100% 6/6    SCC=90% 9/10   MCDC=80% 4/5   

  bool iox::operator !=<T1>(iox::RelativePointer<T1>, std::nullptr_t) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::RelativePointer<T1>::RelativePointer(T1 *) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::RelativePointer<T1>::RelativePointer(T1 *)::[lambda() (instance 1)] LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::RelativePointer<T1>::RelativePointer(T1 *, iox::segment_id_t) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::RelativePointer<T1>::RelativePointer(iox::RelativePointer<T1>&&) LC=0% 0/2      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::RelativePointer<T1>::RelativePointer(unsigned long, iox::segment_id_t) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::RelativePointer<T1>::computeOffset(T1 *) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::RelativePointer<T1>::computeRawPtr() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::RelativePointer<T1>::get() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::RelativePointer<T1>::getBasePtr() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::RelativePointer<T1>::getBasePtr(iox::segment_id_t) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::RelativePointer<T1>::getId() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::RelativePointer<T1>::getOffset() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::RelativePointer<T1>::getOffset(iox::segment_id_t, T1 *) LC=100% 4/4    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::RelativePointer<T1>::getPtr(iox::segment_id_t, unsigned long) LC=100% 4/4    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::RelativePointer<T1>::operator =(T1 *) LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::RelativePointer<T1>::operator bool() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::RelativePointer<T1>::registerPtrWithId(iox::segment_id_t, T1 *, unsigned long) LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::RelativePointer<T1>::searchId(T1 *) LC=100% 3/3    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::RelativePointer<T1>::unregisterAll() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::RelativePointer<T1>::unregisterPtr(iox::segment_id_t) LC=100% 1/1    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    
  iox::getRepository()             LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  std::enable_if<(!std::is_void<T1>::value), const T1 &>::type iox::RelativePointer<T1>::operator *<T1>() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/memory/include/iox/detail/scope_guard.inl LC=100% 11/11  DC=75% 3/4     SCC=75% 3/4    MCDC=50% 1/2   

  iox::ScopeGuardWithVariableCapacity<unsigned long>::ScopeGuardWithVariableCapacity(const iox::function_ref<void ()> &, const iox::storable_function<unsigned long, void ()> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::ScopeGuardWithVariableCapacity<unsigned long>::ScopeGuardWithVariableCapacity(const iox::storable_function<unsigned long, void ()> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::ScopeGuardWithVariableCapacity<unsigned long>::ScopeGuardWithVariableCapacity(iox::ScopeGuardWithVariableCapacity<unsigned long>&&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::ScopeGuardWithVariableCapacity<unsigned long>::destroy() LC=100% 2/2    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::ScopeGuardWithVariableCapacity<unsigned long>::operator =(iox::ScopeGuardWithVariableCapacity<unsigned long>&&) LC=100% 5/5    DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::ScopeGuardWithVariableCapacity<unsigned long>::~ScopeGuardWithVariableCapacity() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/memory/include/iox/detail/unique_ptr.inl LC=100% 24/24  DC=75% 3/4     SCC=63% 5/8    MCDC=25% 1/4   

  bool iox::operator !=<T1, T2>(const iox::unique_ptr<T1> &, const iox::unique_ptr<T2> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::operator ==<T1, T2>(const iox::unique_ptr<T1> &, const iox::unique_ptr<T2> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::unique_ptr<T1>::destroy()   LC=100% 3/3    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::unique_ptr<T1>::get()       LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::unique_ptr<T1>::get() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::unique_ptr<T1>::operator ->() LC=100% 2/2    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    
  iox::unique_ptr<T1>::operator ->() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::unique_ptr<T1>::operator =(iox::unique_ptr<T1>&&) LC=100% 6/6    DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::unique_ptr<T1>::release(iox::unique_ptr<T1>&&) LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::unique_ptr<T1>::swap(iox::unique_ptr<T1>&) LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::unique_ptr<T1>::unique_ptr(T1 *, const iox::storable_function<(unsigned long)128, void (iox::add_const_conditionally<T1 *const , T1>::type)> &) LC=100% 1/1    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    
  iox::unique_ptr<T1>::unique_ptr(iox::unique_ptr<T1>&&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::unique_ptr<T1>::~unique_ptr() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/memory/include/iox/memory.hpp LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

  T1 iox::align<T1>(T1, T1)        LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/memory/source/bump_allocator.cpp LC=100% 16/16  DC=100% 4/4    SCC=75% 6/8    MCDC=50% 2/4   

  iox::BumpAllocator::BumpAllocator(void *, unsigned long) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::BumpAllocator::allocate(unsigned long, unsigned long) LC=100% 14/14  DC=100% 4/4    SCC=75% 6/8    MCDC=50% 2/4   
  iox::BumpAllocator::deallocate() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

